"week","time","mmwrWeek","siteID","amblyomma_americanum","tempMin","tempMax","tempMean"
156,2018-05-20,21,"TALL",110,19.1246,33.0415,23.6195226000507
159,2018-06-10,24,"TALL",37.5,20.0509,34.8402,25.0531616071429
162,2018-07-01,27,"TALL",86.30705394,21.7734,34.0547,25.7763470436508
165,2018-07-22,30,"TALL",73.33333333,20.612,35.7948,26.76789375
168,2018-08-12,33,"TALL",36.66666667,21.7436,35.3726,26.5499583333333
171,2018-09-02,36,"TALL",73.33333333,21.1528,34.194,25.7373144132653
175,2018-09-30,40,"TALL",20,20.2121,32.9163,25.3006091071429
199,2019-03-17,12,"TALL",14.9068323,2.9195,24.113,12.1471672619048
202,2019-04-07,15,"TALL",30.09404389,14.5746,31.4304,21.0049955357143
205,2019-04-28,18,"TALL",86.82170543,14.9066,31.09,22.4463385025063
208,2019-05-19,21,"TALL",163.7795276,19.3092,31.5657,25.63150625
211,2019-06-09,24,"TALL",37.05263158,16.9577,30.0051,23.4035376266464
215,2019-07-07,28,"TALL",36.66666667,21.706,33.4278,26.50729375
217,2019-07-21,30,"TALL",15.48387097,18.0802,31.0026,25.1332749353002
220,2019-08-11,33,"TALL",24.77419355,21.1636,38.2259,28.317287202381
223,2019-09-01,36,"TALL",38.01295896,17.6803,36.915,26.8192261904762
226,2019-09-22,39,"TALL",37.05263158,17.6998,37.5652,27.3904276785714
251,2020-03-15,12,"TALL",31.71806167,10.5393,28.5221,19.7469321428571
260,2020-05-17,21,"TALL",23.41463415,13.4511,31.7769,21.4204428571429
267,2020-07-05,28,"TALL",39.02439024,21.7147,34.7221,26.1729702380952
269,2020-07-19,30,"TALL",28.43295638,21.1516,35.4466,26.5987529135338
272,2020-08-09,33,"TALL",38.68131868,21.9607,37.2108,27.2310588850014
274,2020-08-23,35,"TALL",128,21.0298,33.1786,25.6981895833333
278,2020-09-20,39,"TALL",114.7826087,13.1096,29.4955,19.810449702381
1,2015-07-12,28,"UKFS",220,22.6628,33.9534,26.0338777777778
3,2015-07-26,30,"UKFS",256.6336634,20.9468,36.2292,28.0281125
6,2015-08-16,33,"UKFS",335,21.7217,29.2185,23.2308666666667
9,2015-09-06,36,"UKFS",110,21.2759,32.5882,27.1054666666667
38,2016-03-27,13,"UKFS",0,13.003,22.9049,17.2715347222222
41,2016-04-17,16,"UKFS",0,13.6676,26.7408,21.4052545280721
44,2016-05-08,19,"UKFS",0,16.2821,28.6109,21.9902812597155
47,2016-05-29,22,"UKFS",185,20.6658,32.9488,26.4665788407047
50,2016-06-19,25,"UKFS",188.3870968,23.243,30.9413,28.540025
53,2016-07-10,28,"UKFS",48.17204301,20.1631,24.7311,23.1054666666667
56,2016-07-31,31,"UKFS",215.9349593,23.3882,39.2711,28.62915
60,2016-08-28,35,"UKFS",190.9677419,23.0293,30.7349,25.70868
62,2016-09-11,37,"UKFS",90,21.1011,32.6226,25.87027
66,2016-10-09,41,"UKFS",2.5,12.7719,29.0355,19.5874916666667
68,2016-10-23,43,"UKFS",0,9.9888,30.8624,20.9018333333333
71,2016-11-13,46,"UKFS",0,7.0548,21.3414,15.8314888888889
90,2017-03-26,13,"UKFS",0,7,17,9.82
92,2017-04-09,15,"UKFS",55,2,28,18.58
95,2017-04-30,18,"UKFS",125,4,28,13.29
98,2017-05-21,21,"UKFS",88.88888889,7,30,16.97
101,2017-06-11,24,"UKFS",310,19,36,27.3
104,2017-07-02,27,"UKFS",560,17,33,24.88
107,2017-07-23,30,"UKFS",97.5,22.4733,35.7428,27.1507425595238
110,2017-08-13,33,"UKFS",100,22.315,34.573,26.6948701839827
113,2017-09-03,36,"UKFS",100,11.9549,33.4714,21.8833038690476
116,2017-09-24,39,"UKFS",50,19.5087,35.6855,24.7984611659357
141,2018-03-18,12,"UKFS",0,2.1938,26.5392,14.6185821428571
147,2018-04-29,18,"UKFS",64.89859594,9.4381,30.9757,21.193630952381
150,2018-05-20,21,"UKFS",246.3343109,19.1246,33.0415,23.6195226000507
153,2018-06-10,24,"UKFS",42.66666667,20.0509,34.8402,25.0531616071429
156,2018-07-01,27,"UKFS",129.5352324,21.7734,34.0547,25.7763470436508
159,2018-07-22,30,"UKFS",100.1526718,20.612,35.7948,26.76789375
163,2018-08-19,34,"UKFS",95.85253456,18.2328,34.1322,24.7157306547619
165,2018-09-02,36,"UKFS",73.84615385,21.1528,34.194,25.7373144132653
166,2018-09-09,37,"UKFS",65,19.9139,36.4832,25.8191526785714
168,2018-09-23,39,"UKFS",22.5,18.1894,33.682,23.8762651785714
194,2019-03-24,13,"UKFS",10,5.4791,26.429,16.4853026785714
197,2019-04-14,16,"UKFS",27.5,5.0657,27.9797,16.1973760204082
201,2019-05-12,20,"UKFS",126.5671642,12.385,29.1115,21.4284363871636
203,2019-05-26,22,"UKFS",92.56198347,21.1389,31.6841,27.0617696428571
206,2019-06-16,25,"UKFS",358.6813187,19.7394,31.9843,26.1984082188645
207,2019-06-23,26,"UKFS",178.8235294,18.4145,32.1237,25.0119172619048
209,2019-07-07,28,"UKFS",220.4213938,21.706,33.4278,26.50729375
212,2019-07-28,31,"UKFS",178.3206107,21.25,34.5685,26.4910663690476
215,2019-08-18,34,"UKFS",167.6190476,21.333,38.1382,26.6131845238095
218,2019-09-08,37,"UKFS",112,21.5716,38.0009,28.0587151785714
219,2019-09-15,38,"UKFS",0,18.1581,38.9815,27.3851961372847
221,2019-09-29,40,"UKFS",13.33333333,21.1446,38.9882,28.9739961309524
222,2019-10-06,41,"UKFS",10,12.8319,32.8565,21.8230571428571
258,2020-06-14,25,"UKFS",477.5,16.4884,35.2076,24.90582375
261,2020-07-05,28,"UKFS",112.5,21.7147,34.7221,26.1729702380952
265,2020-08-02,32,"UKFS",96,21.0159,34.5418,26.2198069358178
267,2020-08-16,34,"UKFS",96.50793651,18.8809,34.7449,25.3178785714286
271,2020-09-13,38,"UKFS",92.5,17.6402,33.67,23.7480350240628
273,2020-09-27,40,"UKFS",15,11.6922,31.2682,20.5836739583333
